"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20753.5276476148","22429.2894439746","23484.2682590847","25024.8276202404","26786.1459486344","27192.7074960316","27183.8527304627","28718.5574188519","28743.5090623207","28656.0961995796","30746.6527453748","32184.2193022105","31988.303072648","32657.892379743","35653.5376737516","36264.4353728603","37365.0551941654","39080.4660076304","40059.8571454295","35169.7853529421","34230.3250904912","35780.2497425213","34786.5939932063","36932.1841636111","36846.8482853085","37343.9129633145","37583.8403229292","38865.188195117","41679.2381900445","42501.6415538621","34971.0099128273","42698.3598724311",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1814.92051024411","1827.63934983588","1787.39457796141","1779.72863447156","1805.36174880723","1876.30589410778","1962.97988736179","2030.9924631047","2040.6194986094","2075.02932057732","2140.58351139894","2212.0204865978","2275.48185939448","2335.42665125298","2468.07913057747","2633.78766288037","2819.84977260701","3007.50928530936","3118.27278484759","3077.11624504058","3187.36389370501","3292.75458377533","3208.01661923705","3333.52091099289","3470.5506746752","3498.12539565543","3591.09980941993","3635.56462245595","3724.86817717315","3777.97236792898","3621.05810578766","3839.47005798218",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.116264973781","970.645114676507","971.811023482828","1075.67137317936","1120.89312847686","1287.06440027539","1336.21033898238","1575.31677908968","1771.19798501195","1749.93699491677","1958.44762747924","2062.05917625276","2110.82956797747","2128.12593822669","2023.83465629732","2096.09311055337","2109.92929586357","2167.70411054404","2076.13838003855","1665.80584219752",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1748.28341700263","1783.59847185681","1821.20777520862","1797.30152493498","1787.31499379314","1815.27733221311","1884.60109677762","1948.10964840846","1986.86742564679","1993.17242876564","2055.2695001041","2150.71902977945","2323.22622808161","2431.13817390485","2619.25448505314","2779.58690481443","2935.51773246555","3089.76589735031","3254.35755567443","3377.50621895534","3551.09230239389","3698.51734422404","3801.05223438416","3950.94888858967","4143.17705446477","4075.99445899238","3998.9518757009","4045.30326282761","4160.5409654317","4264.73103492299","4174.50456492465","4409.45096089481",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3268.78223552171","3301.17771377206","3077.65404737687","2320.44811826489","2326.13980771179","2642.76978093229","2955.57664524476","3119.45485989551","3196.01401477475","3206.60981126417","3271.55261383737","3373.30001168747","3766.31357170899","3822.74576943579","4205.12755217524","4814.47703716865","5340.92783307274","6030.23514825828","6586.1240181971","6442.92425427364","6586.59651396355","6700.11409977804","7389.31496018756","7643.9219442902","8123.04806537777","7274.09047477931","7027.14663413223","7216.06137266999","7042.92382920461","6881.07624117546","6362.63607638387","6491.12557839236",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.74680052103","1909.31915995857","1823.5036094765","2057.6920475362","2290.14391682223","2666.08195137438","2980.41887081088","2717.68470080045","3021.17960396358","3471.64661643634","3861.33300611406","4300.22273491517","4661.40269532788","5000.29565068603","5427.76712861162","5865.29135442867","6565.63337421329","7284.16653783604","8228.35457586499","8813.51676007141","9628.64011247685","10207.7594552245","10526.2501064206","10570.9660445504","11259.3036811774","11658.8948969978","12078.7993344718","12770.9878616071","13498.1961186448","14407.3656909018","14033.9757184159","15810.4274320237",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6661.00731618393","7251.03387147108","7597.57983640115","7790.57284392835","7968.83088174576","8151.5659940661","8474.86470554047","8795.46379131887","9174.69074530749","9279.94617210767","9900.00569097067","10061.2097112224","10027.4814953787","10423.2643322943","11438.2438329957","12152.8911470109","12920.8963220052","13487.2998095916","14134.834510649","13918.0713780923","14397.9714138147","14911.380621397","15849.1001439995","15786.5760805697","15565.9921481458","14055.953264505","13594.6764814809","14052.5469127783","14463.3642533821","14634.4559518576","13914.5834852723","14793.8813132851",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83843.2246780448","82712.8139100066","82972.0061484129","81868.5116511012","85325.005838407","88932.300784671","90644.5911207501","93461.25054378","89110.1443914782","87692.0249328971","94015.709186612","92431.1914880088","91407.1841157827","96633.0226384682","103821.831377533","104732.05369113","103625.975953245","91608.3222202727","80959.4607166056","67508.5860094236","65411.9400392554","70619.3158481136","74853.5750972265","75877.9979631878","78859.0891166617","69705.704856878","68853.8197724917","71182.3707145056","73259.9048664239","74811.6902150565","71374.1810463077","76609.1979999204",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7183.58382562643","7990.18800352353","8699.39508000729","9506.50543115127","10138.6816541837","9925.12989526904","10531.8458193995","11444.4740607451","11880.4806279761","11506.6988843989","11542.9860028113","11159.3299223816","9990.72022161809","10974.3241728286","12162.3374741639","13513.6702919661","14896.7335378162","16510.4482429226","17336.9328242167","16249.730130137","18063.9143432506","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.117752839","23290.6757386443","23003.2771805423","20763.2885528852","23649.670296221",
