idno,cntry,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,anctry1,anctry2
63659,ME,4.0,4.0,4.0,3.0,0.0,0.0,Albanian nfs,Montenegrin nfs
63679,ME,1.0,1.0,1.0,0.9000000000000004,7.0,5.0,Serbian nfs,Montenegrin nfs
63700,ME,3.0,3.0,3.0,1.5,7.0,5.0,Albanian nfs,Montenegrin nfs
63701,ME,1.0,1.0,1.0,1.5,10.0,5.0,Montenegrin nfs,No second ancestry* 
63708,ME,3.0,2.0,2.0,1.2000000000000002,6.0,5.0,Serbian nfs,No second ancestry* 
63786,ME,2.0,2.0,2.0,3.0,2.0,0.0,Muslim nfs,Montenegrin nfs
63802,ME,2.0,3.0,2.0,2.1,3.0,3.0,Montenegrin nfs,No second ancestry* 
63840,ME,2.0,2.0,2.0,2.1,4.0,3.0,Serbian nfs,No second ancestry* 
63861,ME,2.0,2.0,2.0,2.1,4.0,3.0,Serbian nfs,No second ancestry* 
63870,ME,2.0,2.0,1.0,0.0,10.0,10.0,Serbian nfs,Montenegrin nfs
63875,ME,1.0,1.0,1.0,0.9000000000000004,5.0,4.0,Serbian nfs,Montenegrin nfs
63948,ME,2.0,2.0,2.0,1.7999999999999998,5.0,5.0,Montenegrin nfs,No second ancestry* 
63961,ME,2.0,2.0,2.0,0.9000000000000004,7.0,7.0,Bosniak/Bosnian,No second ancestry* 
63975,ME,3.0,3.0,3.0,1.2000000000000002,7.0,6.0,Albanian nfs,No second ancestry* 
64017,ME,1.0,4.0,3.0,0.0,10.0,9.0,Montenegrin nfs,No second ancestry* 
64022,ME,2.0,3.0,3.0,2.1,5.0,4.0,Albanian nfs,Montenegrin nfs
64076,ME,2.0,3.0,2.0,2.1,4.0,3.0,Montenegrin nfs,No second ancestry* 
64092,ME,3.0,3.0,3.0,1.5,10.0,5.0,Albanian nfs,No second ancestry* 
64096,ME,2.0,3.0,3.0,0.2999999999999998,7.0,8.0,Montenegrin nfs,Bosniak/Bosnian
64112,ME,3.0,2.0,2.0,2.1,5.0,5.0,Montenegrin nfs,No second ancestry* 
64113,ME,2.0,3.0,2.0,1.2000000000000002,5.0,6.0,Muslim nfs,No second ancestry* 
64164,ME,1.0,2.0,1.0,1.5,7.0,6.0,Bosniak/Bosnian,Montenegrin nfs
64179,ME,2.0,2.0,2.0,2.4,3.0,3.0,Montenegrin nfs,No second ancestry* 
64195,ME,2.0,2.0,2.0,0.9000000000000004,6.0,6.0,Montenegrin nfs,No second ancestry* 
64281,ME,2.0,2.0,2.0,0.9000000000000004,7.0,6.0,Serbian nfs,No second ancestry* 
64294,ME,1.0,3.0,3.0,0.5999999999999996,10.0,10.0,Montenegrin nfs,Muslim nfs
64297,ME,1.0,3.0,3.0,1.5,7.0,6.0,Serbian nfs,No second ancestry* 
64332,ME,2.0,2.0,2.0,0.9000000000000004,6.0,6.0,Montenegrin nfs,No second ancestry* 
64395,ME,1.0,1.0,1.0,0.9000000000000004,9.0,8.0,Bosniak/Bosnian,Muslim nfs
64428,ME,1.0,2.0,1.0,1.7999999999999998,5.0,4.0,Montenegrin nfs,No second ancestry* 
64431,ME,2.0,3.0,3.0,1.2000000000000002,6.0,6.0,Serbian nfs,No second ancestry* 
64449,ME,1.0,1.0,1.0,0.5999999999999996,7.0,6.0,Montenegrin nfs,No second ancestry* 
64468,ME,2.0,2.0,2.0,0.9000000000000004,6.0,6.0,Montenegrin nfs,No second ancestry* 
64475,ME,1.0,1.0,1.0,0.5999999999999996,9.0,8.0,Bosniak/Bosnian,Muslim nfs
64510,ME,4.0,3.0,3.0,3.0,4.0,3.0,Serbian nfs,Montenegrin nfs
64536,ME,3.0,4.0,2.0,3.0,5.0,5.0,Montenegrin nfs,Serbian nfs
64558,ME,2.0,1.0,3.0,1.5,7.0,5.0,Montenegrin nfs,Yugoslav
64576,ME,3.0,2.0,2.0,2.1,5.0,4.0,Montenegrin nfs,No second ancestry* 
64578,ME,3.0,3.0,4.0,2.7,6.0,5.0,Montenegrin nfs,No second ancestry* 
64582,ME,2.0,3.0,3.0,1.7999999999999998,5.0,3.0,Montenegrin nfs,No second ancestry* 
64586,ME,4.0,4.0,4.0,1.7999999999999998,6.0,5.0,Montenegrin nfs,No second ancestry* 
